phase,workload,seed,cycles,instructions,ipc,branches,branch-misses,branch_miss_pct,cache-references,cache-misses,cache_miss_pct,L1-dcache-loads,L1-dcache-load-misses,l1d_miss_pct,task-clock,context-switches,cpu-migrations,page-faults,min_scale_pct
phase1,mixed,24301,4376763273.000000,1269311542.000000,0.290011,290601501.000000,8427716.000000,2.900094,21955084.000000,689604.000000,3.140976,1265212902.000000,236495975.000000,18.692188,1197.780000,36.000000,0.000000,3274.000000,100.000000
phase2,mixed,24301,4611650081.000000,1477760261.000000,0.320441,315006192.000000,8119665.000000,2.577621,44225441.000000,4569536.000000,10.332370,1266600099.000000,199832768.000000,15.777100,1255.090000,38.000000,0.000000,9724.000000,100.000000
phase1,cancel,24301,6822843329.000000,2175363244.000000,0.318835,494810680.000000,2406024.000000,0.486251,370718621.000000,434466.000000,0.117196,1520567736.000000,874280949.000000,57.497008,1853.310000,46.000000,0.000000,3283.000000,100.000000
phase2,cancel,24301,6937377837.000000,2072755323.000000,0.298781,428607760.000000,2411028.000000,0.562526,378885747.000000,3503122.000000,0.924585,1441560440.000000,870033642.000000,60.353601,1883.630000,49.000000,0.000000,10152.000000,100.000000
phase1,noop,24301,3347562558.000000,783335010.000000,0.234002,180749876.000000,2170327.000000,1.200735,22738852.000000,405637.000000,1.783894,1120554101.000000,70022493.000000,6.248917,909.440000,38.000000,0.000000,2764.000000,100.000000
phase2,noop,24301,3545843447.000000,940885000.000000,0.265349,205714226.000000,2403188.000000,1.168217,25748897.000000,3618868.000000,14.054458,1135555253.000000,62614049.000000,5.513959,962.730000,45.000000,0.000000,10148.000000,100.000000
phase1,fill16,24301,41579244054.000000,26016411504.000000,0.625707,5921169080.000000,20121631.000000,0.339825,234343822.000000,482250.000000,0.205787,8728541687.000000,1458376946.000000,16.708140,11287.520000,105.000000,0.000000,3281.000000,100.000000
phase2,fill16,24301,39490752712.000000,26175701338.000000,0.662831,5526543883.000000,8960809.000000,0.162141,353718709.000000,4332839.000000,1.224939,8259332632.000000,1429864494.000000,17.312107,10722.280000,111.000000,0.000000,8614.000000,100.000000
phase1,unknown_cancel,12648430,3339045851.000000,731214633.000000,0.218989,172609390.000000,4120077.000000,2.386937,16406105.000000,404095.000000,2.463077,1097910712.000000,53650440.000000,4.886594,907.690000,39.000000,0.000000,3285.000000,100.000000
phase2,unknown_cancel,12648430,3512008383.000000,868161513.000000,0.247198,187585478.000000,2351670.000000,1.253652,20868490.000000,3618697.000000,17.340483,1106996060.000000,56012853.000000,5.059896,956.780000,40.000000,0.000000,8609.000000,100.000000
phase1,increase,12648430,5516628256.000000,1185871313.000000,0.214963,285171458.000000,2580813.000000,0.905004,214812608.000000,429986.000000,0.200168,1244216059.000000,669130046.000000,53.779248,1497.360000,46.000000,0.000000,2764.000000,100.000000
phase2,increase,12648430,5771479314.000000,1506230388.000000,0.260978,347036684.000000,2920884.000000,0.841664,229114758.000000,3571883.000000,1.558993,1281430494.000000,680474718.000000,53.102741,1570.040000,46.000000,0.000000,8616.000000,100.000000
phase1,reduce,24301,5526507539.000000,1185425981.000000,0.214498,285332363.000000,2808115.000000,0.984156,213644106.000000,423621.000000,0.198283,1244429806.000000,664576863.000000,53.404126,1500.800000,51.000000,0.000000,2772.000000,100.000000
phase2,reduce,24301,5740761142.000000,1514394420.000000,0.263797,348766247.000000,2703748.000000,0.775232,240542749.000000,3560006.000000,1.479989,1281832771.000000,686852009.000000,53.583589,1557.860000,46.000000,0.000000,10660.000000,100.000000
